year,firstname,sex
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,M
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2009,ALEXIS,F
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,M
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2010,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,F
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
2011,ALEXIS,M
